attack_group_id,display_name,country_code,first_observed_year,target_categories,victim_countries,motivation_tags,notes,reference_url
G1045,,,,Telecommunications,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1045/
G1041,,,,Government|Technology|Telecommunications,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1041/
G1008,,,,Government|Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1008/
G0083,,,,Education|Manufacturing|Technology,,Financial Gain,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0083/
G1033,,,,Government|Defense|Education|NGOs,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1033/
G0081,,,,Government|Healthcare|Technology|Transportation,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0081/
G1048,,,,Defense|Telecommunications|Technology,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1048/
G0123,,,,Individuals,,Hacktivism,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0123/
G1017,,,,Critical infrastructure|Technology,,Espionage|Sabotage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1017/
G0090,,,,Government|Defense|Technology|Legal,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0090/
G0082,,KP,,Finance,,Financial Gain|Sabotage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0082/
G0096,,CN,,Telecommunications|Healthcare|Technology|Retail,,Espionage|Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0096/
G0143,,CN,,Government|Telecommunications|Technology,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0143/
G0001,,CN,,Government|Defense|Manufacturing|Media,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0001/
G0035,,RU,,Government|Defense|Energy|Transportation|Critical infrastructure,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0035/
G1006,,CN,,Government|Telecommunications|Education|Media|NGOs,,Espionage|Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1006/
G0053,,RU,,Finance|Hospitality,,Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0053/
G0094,,KP,,Government|Education|Individuals,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0094/
G1014,,CN,,Government,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1014/
G1026,,BR,,Finance,,Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1026/
G0019,,CN,,Government|Defense|Critical infrastructure,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0019/
G0114,,CN,,Manufacturing|Transportation,,Espionage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0114/
G0032,,KP,,Government|Defense|Finance|Technology|Media,,Espionage|Financial Gain|Sabotage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0032/
G1036,,KP,,Defense|Technology,,Espionage|Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1036/
G1031,,RU,,Government,,Espionage|Sabotage,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1031/
G0044,,CN,,Hospitality,,Espionage|Financial Gain,"Backfilled tranche 2 country, target categories, and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0044/
G1043,,,,Critical infrastructure,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1043/
G0008,,,,Finance,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G0008/
G0080,,,,Finance,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G0080/
G1011,,,,Healthcare|Technology,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1011/
G0046,,,,Finance|Healthcare|Technology|Retail|Hospitality|Transportation|Media,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G0046/
G0061,,,,Technology|Hospitality|Retail,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G0061/
G1032,,,,Healthcare|Critical infrastructure,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1032/
G1051,,,,Critical infrastructure,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1051/
G1015,,,,Telecommunications|Technology|Hospitality|Retail|Finance,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1015/
G1050,,,,Finance,,Financial Gain,"Backfilled tranche 2 target categories and motivation tags from ATT&CK group description and manual review; country remains unset pending verified attribution.",https://attack.mitre.org/groups/G1050/
